case_id,case_score,case_outlier,iso_outlier
22444156,0.618,True,False
22470419,0.652,False,False
22483254,0.627,True,False
22483852,0.607,True,False
22484667,0.656,True,False
22485706,0.638,True,False
22486842,0.962,False,False
22510979,0.699,False,False
22530944,0.624,True,False
22532360,0.602,True,False
22533197,0.699,False,False
22540298,0.582,True,False
22550213,0.969,False,False
22550863,0.706,False,False
22566514,0.705,False,False
22627163,0.635,True,False
22643660,0.634,True,False
22646318,0.6,True,False
22667476,0.595,True,False
22697360,0.699,False,False
22711101,0.98,True,False
22764138,0.625,True,False
22883511,0.701,False,False
22943372,0.643,False,False
22949801,0.667,False,False
22998831,0.613,True,False
23038803,0.981,True,False
23053160,0.6,True,False
23064404,0.703,False,False
23099692,0.591,True,False
23103587,0.599,True,False
23142917,0.612,True,False
23167664,0.705,False,False
23168788,0.705,False,False
23169561,0.706,False,False
23198662,0.649,False,False
23200425,0.718,False,False
23224405,0.659,False,False
23233618,0.708,False,False
23249815,0.707,False,False
23287159,0.961,False,False
23304819,0.625,True,False
23361288,0.68,False,False
23368349,0.721,False,False
23384655,0.696,False,False
23395309,0.715,False,False
23427734,0.678,False,False
23430810,0.977,False,False
23446082,0.662,False,False
23467404,0.604,True,False
23468178,0.619,True,False
23577475,0.671,False,False
23589777,0.97,False,False
23590665,0.971,False,False
23592301,0.966,False,False
23623452,0.622,True,False
23624644,0.604,True,False
23625680,0.964,False,False
23626378,0.631,True,False
23627223,0.621,True,False
23627935,0.617,True,False
23629535,0.966,False,False
23631547,0.976,False,False
23633812,0.717,False,False
23646352,0.578,True,False
23650672,0.62,True,False
23651416,0.624,True,False
23652333,0.588,True,False
23682677,0.62,True,False
23684884,0.966,False,False
23698350,0.617,True,False
23704944,0.965,False,False
23777908,0.969,False,False
23822258,0.966,False,False
23835254,0.977,False,False
23879911,0.967,False,False
23882203,0.672,True,False
23934592,0.98,True,False
23969715,0.979,False,False
24033485,0.974,False,False
24074730,0.977,False,False
24129088,0.979,False,False
24153510,0.979,False,False
24154225,0.979,False,False
2760933,0.995,True,False
2771472,0.646,True,False
2799084,0.995,True,False
2802701,0.964,False,False
2817552,0.925,True,False
2824824,0.706,True,False
2832470,0.714,False,False
2852294,0.686,True,False
2857162,0.633,True,False
2871549,0.937,False,False
2872591,0.97,False,False
2873511,0.979,False,False
2876398,0.719,False,False
2878133,0.986,True,False
2879911,0.973,True,False
2887963,0.703,True,False
2892066,0.701,False,False
2899575,0.689,True,False
2905364,0.716,False,False
2912319,0.985,True,False
2918023,0.946,False,False
2931536,0.715,True,False
2938058,0.714,False,False
2941610,0.97,False,False
2941625,0.566,True,False
2947783,0.589,True,False
2952313,0.933,True,False
2954374,0.667,False,False
2955648,0.587,True,False
2956664,0.637,True,False
2958309,0.615,True,False
2959126,0.62,True,False
2959733,0.712,False,False
2961393,0.959,False,False
2968823,0.59,True,False
2985811,0.649,False,False
2992234,0.952,False,False
2997710,0.987,True,False
2998498,0.718,False,False
2999082,0.676,True,False
3004297,0.987,True,False
3006864,0.968,False,False
3006923,0.972,False,False
3026555,0.572,True,True
3028180,0.621,True,False
3030763,0.719,False,False
3061852,0.96,False,False
3068788,0.954,False,False
3075228,0.682,False,False
3075754,0.958,False,False
3076809,0.987,True,False
3076903,0.69,False,False
3077706,0.957,False,False
3082808,0.648,True,False
3084584,0.961,False,False
3084719,0.729,False,False
3085652,0.736,True,False
3085874,0.966,False,False
3086300,0.964,False,False
3087475,0.992,True,False
3087621,0.918,True,False
3088479,0.992,True,False
3088748,0.678,False,False
3089047,0.918,True,False
3093950,0.96,False,False
3096463,0.716,False,False
3096822,0.961,False,False
3098843,0.95,False,False
3099859,0.949,False,False
3100940,0.64,True,False
3102027,0.627,True,False
3102976,0.668,False,False
3103455,0.697,True,False
3107272,0.712,False,False
3116101,0.629,True,False
3116162,0.744,False,False
3118429,0.988,True,False
3119597,0.96,False,False
3119874,0.627,True,False
3119876,0.956,False,False
3124030,0.608,True,False
3130797,0.708,False,False
3132572,0.659,False,False
3132663,0.652,True,False
3136211,0.969,False,False
3141385,0.959,False,False
3141814,0.662,False,False
3142196,0.697,False,False
3143693,0.726,False,False
3146032,0.685,False,False
3147177,0.953,False,False
3148569,0.709,False,False
3149756,0.969,False,False
3153218,0.956,False,False
3164173,0.644,True,False
3167541,0.695,False,False
3168748,0.659,False,False
3169361,0.652,False,False
3169967,0.682,False,False
3172025,0.986,True,False
3174249,0.71,False,False
3178195,0.984,True,False
3179029,0.664,False,False
3179968,0.648,False,False
3180462,0.975,False,False
3180743,0.966,False,False
3183517,0.671,False,False
3184078,0.562,True,False
3184863,0.993,True,False
3185134,0.815,True,False
3185391,0.694,False,False
3185662,0.962,False,False
3211622,0.987,True,False
3213266,0.692,False,False
3213652,0.954,False,False
3218835,0.69,False,False
3221145,0.908,True,False
3221731,0.51,True,True
3229563,0.73,False,False
3231007,0.686,False,False
3231392,0.661,False,False
3234487,0.714,False,False
3242864,0.618,True,False
3243523,0.717,False,False
3244139,0.987,True,False
3244910,0.62,True,False
3245329,0.644,True,False
3245614,0.905,True,True
3247240,0.96,False,False
3263200,0.509,True,True
3263486,0.732,False,False
3272145,0.973,False,False
3281714,0.676,False,False
3291568,0.688,False,False
3292143,0.733,False,False
3292518,0.966,False,False
3303582,0.988,True,False
3305115,0.986,True,False
3306594,0.966,False,False
3307475,0.683,False,False
3311629,0.719,False,False
3320939,0.955,False,False
3321043,0.637,False,False
3326579,0.692,False,False
3329032,0.966,False,False
3332501,0.724,False,False
3334697,0.664,True,False
3335018,0.702,False,False
3343800,0.605,True,False
3344494,0.678,True,False
3352239,0.653,True,False
3357637,0.986,True,False
3368104,0.727,False,False
3369224,0.666,False,False
3378312,0.941,False,False
3383707,0.96,False,False
3387750,0.715,False,False
3388467,0.696,False,False
3388796,0.539,True,True
3397211,0.696,False,False
3398129,0.771,False,False
3399048,0.707,False,False
3399389,0.716,True,False
3400078,0.666,False,False
3406458,0.59,True,False
3407405,0.733,False,False
3411955,0.987,True,False
3415348,0.583,True,False
3415962,0.74,False,False
3423187,0.61,True,False
3423587,0.677,False,False
3426994,0.988,True,False
3427972,0.737,False,False
3429182,0.972,True,False
3430785,0.984,True,False
3436134,0.737,False,False
3436876,0.581,True,False
3438613,0.658,False,False
3438931,0.671,False,False
3439262,0.969,False,False
3441443,0.721,False,False
3442241,0.77,False,False
3445895,0.945,False,False
3446379,0.538,True,False
3450052,0.645,True,False
3450818,0.717,False,False
3451526,0.75,False,False
3452195,0.715,False,False
3452607,0.62,True,False
3453382,0.708,True,False
3453951,0.719,False,False
3454193,0.963,False,False
3454577,0.968,False,False
3459062,0.672,False,False
3459351,0.931,True,False
3462766,0.708,False,False
3463486,0.546,True,True
3463828,0.988,True,False
3464876,0.772,False,False
3465217,0.954,False,False
3466008,0.709,False,False
3466023,0.795,False,False
3466268,0.696,False,False
3467528,0.646,True,False
3470258,0.964,False,False
3477240,0.741,False,False
3477249,0.722,False,False
3477260,0.957,False,False
3480007,0.582,True,False
3482715,0.918,True,False
3486336,0.973,False,False
3486639,0.972,False,False
3486936,0.646,True,False
3487122,0.653,False,False
3487796,0.973,False,False
3487903,0.659,False,False
3488460,0.607,True,False
3490022,0.688,False,False
3501294,0.621,True,False
3502235,0.956,False,False
3506175,0.981,True,False
3506653,0.723,False,False
3507996,0.745,False,False
3508621,0.939,True,False
3509452,0.7,False,False
3509851,0.824,False,False
3510514,0.964,False,False
3520033,0.727,False,False
3520260,0.921,True,False
3529862,0.706,False,False
3530929,0.941,True,False
3533849,0.647,True,False
3537815,0.632,True,False
3538779,0.706,False,False
3542315,0.966,False,False
3551575,0.616,True,False
3553191,0.625,True,False
3554803,0.704,False,False
3555583,0.97,False,False
3559322,0.919,True,False
3559662,0.983,True,False
3563181,0.957,False,False
3563231,0.696,True,False
3564169,0.769,False,False
3564781,0.574,True,False
3564905,0.54,True,True
3565155,0.642,True,False
3566489,0.647,True,False
3569057,0.953,False,False
3572737,0.699,False,False
3580469,0.988,True,False
3582814,0.915,True,False
3585884,0.72,False,False
3586709,0.565,True,False
3587402,0.564,True,False
3587950,0.563,True,False
3589701,0.774,False,False
3593523,0.699,False,False
3597194,0.92,True,False
3601034,0.678,True,False
3601115,0.965,False,False
3604907,0.536,True,False
3606977,0.641,False,False
3607286,0.688,False,False
3608599,0.723,False,False
3609024,0.691,True,False
3613991,0.659,False,False
3614357,0.701,False,False
3615391,0.611,True,False
3617709,0.59,True,True
3619881,0.914,True,False
3621001,0.671,False,False
3622289,0.608,True,False
3622368,0.735,False,False
3622735,0.963,False,False
3623121,0.965,False,False
3625907,0.597,True,False
3626280,0.696,False,False
3627106,0.925,True,False
3628104,0.688,True,False
3630631,0.722,False,False
3634095,0.661,False,False
3634462,0.602,True,False
3635297,0.623,True,False
3637523,0.709,False,False
3638049,0.632,True,False
3638066,0.662,True,False
3638958,0.655,True,False
3638970,0.571,True,False
3639299,0.608,True,False
3639600,0.91,True,False
3640496,0.964,False,False
3642027,0.69,False,False
3642945,0.715,True,False
3644189,0.662,False,False
3644675,0.701,False,False
3645948,0.723,False,False
3646104,0.657,False,False
3648024,0.726,False,False
3648321,0.559,True,False
3649143,0.958,False,False
3649655,0.598,True,False
3650856,0.697,False,False
3650861,0.623,True,False
3651540,0.661,False,False
3651563,0.634,True,False
3651878,0.923,True,False
3653302,0.744,False,False
3653949,0.952,True,False
3657700,0.587,True,False
3657907,0.654,False,False
3657941,0.59,True,False
3657999,0.522,True,False
3658434,0.97,False,False
3676726,0.688,False,False
3682408,0.954,False,False
3683029,0.587,True,False
3685435,0.965,False,False
3688153,0.962,False,False
3688959,0.713,False,False
3689452,0.966,False,False
3691008,0.675,False,False
3691316,0.505,True,True
3691905,0.585,True,False
3692573,0.686,False,False
3694029,0.638,True,False
3695615,0.644,True,False
3696191,0.966,False,False
3703111,0.672,False,False
3704631,0.609,True,False
3707875,0.675,False,False
3708116,0.639,True,False
3710373,0.694,False,False
3716518,0.682,True,False
3716940,0.68,False,False
3718186,0.672,False,False
3719901,0.969,False,False
3723540,0.665,False,False
3725308,0.603,True,False
3727541,0.942,False,False
3727572,0.77,False,False
3728113,0.614,True,False
3729523,0.644,True,False
3729714,0.603,True,False
3731022,0.724,False,False
3734285,0.988,True,False
3734467,0.675,False,False
3736272,0.667,False,False
3737683,0.649,True,False
3744434,0.675,False,False
3745180,0.975,True,False
3745947,0.94,False,False
3746653,0.979,True,False
3747780,0.686,False,False
3753623,0.928,True,False
3768886,0.64,True,False
3780310,0.927,True,False
3784680,0.619,True,False
3793428,0.925,True,False
3796033,0.925,True,False
3797108,0.676,False,False
3802730,0.536,True,True
3815650,0.959,False,False
3828626,0.66,False,False
3829621,0.904,True,False
3830440,0.952,False,False
3832854,0.743,False,False
3833680,0.646,True,False
3834330,0.952,False,False
3843237,0.941,False,False
3851130,0.683,False,False
3858417,0.587,True,False
3867425,0.966,False,False
3868133,0.967,False,False
3873935,0.945,False,False
3876964,0.685,False,False
3878042,0.962,False,False
3879795,0.72,False,False
3881061,0.61,True,False
3881600,0.606,True,False
3881795,0.962,False,False
3882953,0.687,False,False
3883827,0.705,False,False
3885354,0.694,False,False
3888982,0.955,False,False
3890396,0.973,False,False
3891446,0.615,True,False
3892505,0.814,True,True
3893817,0.697,False,False
