case_id,municipality,case_hybrid_score,case_hybrid_raw
12799746,BPIC15_5,0.462,0.47476284973915306
12811989,BPIC15_5,0.809,0.8037216981536273
12812688,BPIC15_1,0.875,0.8665995518198777
12814227,BPIC15_1,0.511,0.5210950011910466
12817807,BPIC15_1,0.917,0.9062101209516046
12837981,BPIC15_5,0.395,0.41071131256931637
12869313,BPIC15_5,0.883,0.8738276037609386
12905128,BPIC15_1,0.93,0.9183753514037711
12907271,BPIC15_1,0.93,0.9184484035499103
12935996,BPIC15_5,0.89,0.8804560432494222
12936521,BPIC15_1,0.531,0.5404763831748358
12939498,BPIC15_5,0.482,0.49361563808607367
12941586,BPIC15_5,0.477,0.4885182512423035
12986276,BPIC15_5,0.878,0.8689753879578973
12993950,BPIC15_1,0.929,0.9178404614876206
12998701,BPIC15_1,0.93,0.9186630068762149
13000092,BPIC15_1,0.916,0.905755707073799
13016907,BPIC15_5,0.48,0.49137808725219645
13043480,BPIC15_5,0.809,0.8039948820684466
13055326,BPIC15_1,0.929,0.918121044430722
13060756,BPIC15_1,0.93,0.9183499326767832
13063975,BPIC15_1,0.93,0.9184575213476875
13086821,BPIC15_5,0.802,0.7969129354484703
13088181,BPIC15_5,0.405,0.4202634301308611
13091175,BPIC15_1,0.9,0.8905986984243972
13092416,BPIC15_5,0.402,0.41754327344724673
13094908,BPIC15_1,0.929,0.9178301351661441
13103680,BPIC15_5,0.404,0.41990380343358924
13113737,BPIC15_1,0.93,0.9181541890196452
13120775,BPIC15_5,0.482,0.4935005202024285
13124255,BPIC15_5,0.402,0.4175796266598933
13126616,BPIC15_5,0.824,0.8177184302011073
13127664,BPIC15_5,0.47,0.48230934815657056
13130180,BPIC15_5,0.469,0.48123961904298496
13138230,BPIC15_5,0.806,0.800847891953554
13143582,BPIC15_5,0.407,0.42221995719279204
13147393,BPIC15_5,0.906,0.896090873828162
13149138,BPIC15_5,0.819,0.813067436937847
13160407,BPIC15_1,0.929,0.9180557241709156
13166722,BPIC15_1,0.617,0.6213246201980088
13211034,BPIC15_5,0.89,0.8807660901695268
13226152,BPIC15_5,0.895,0.8852021142911222
13226170,BPIC15_5,0.878,0.869081742463107
13271933,BPIC15_5,0.811,0.8057593566324294
13272664,BPIC15_5,0.89,0.880587354255369
13274288,BPIC15_5,0.826,0.8201992147308783
13283936,BPIC15_5,0.81,0.8049191574508919
13359725,BPIC15_5,0.811,0.8056619968678945
13445008,BPIC15_5,0.828,0.8216622730030636
13479171,BPIC15_5,0.89,0.8804291456193308
13501086,BPIC15_5,0.892,0.8822513954261039
13518764,BPIC15_5,0.894,0.8847447605213966
13559761,BPIC15_5,0.827,0.8209283187618226
13561073,BPIC15_5,0.894,0.884539194116589
13566705,BPIC15_5,0.894,0.8845031039147181
13595649,BPIC15_5,0.824,0.8182228751235671
13598290,BPIC15_5,0.894,0.8846003354165446
13602723,BPIC15_5,0.827,0.8209419755704501
13632867,BPIC15_5,0.896,0.8861069041858085
13642349,BPIC15_5,0.895,0.8853829620846527
13673881,BPIC15_5,0.827,0.8209969306590801
13679541,BPIC15_5,0.828,0.8218296972616516
13946101,BPIC15_2,0.841,0.8341834740931923
13968152,BPIC15_2,0.859,0.8515262024889413
19844232,BPIC15_2,0.448,0.46129400425914285
19850540,BPIC15_2,0.451,0.46376504753947095
19851047,BPIC15_2,0.853,0.8453059019892513
19898301,BPIC15_2,0.831,0.8245893360062736
19899227,BPIC15_2,0.419,0.4340978133349024
19900779,BPIC15_2,0.821,0.8156104346745642
19902348,BPIC15_2,0.399,0.41497836065948424
19922714,BPIC15_2,0.46,0.47264938094722775
19944424,BPIC15_2,0.848,0.841026619798625
19946818,BPIC15_2,0.427,0.44179411281840164
19949987,BPIC15_2,0.451,0.46384587734850313
19964659,BPIC15_2,0.32,0.339941024701328
19982374,BPIC15_2,0.455,0.46756046102403365
20012182,BPIC15_2,0.833,0.8269800369673055
20013528,BPIC15_2,0.45,0.4634853384544763
20033105,BPIC15_2,0.447,0.46022651324411906
20034102,BPIC15_2,0.432,0.44606158649905014
20039669,BPIC15_2,0.441,0.4551155385454812
20040515,BPIC15_2,0.442,0.45539013052924254
20048962,BPIC15_2,0.863,0.8549464368490954
20059230,BPIC15_2,0.398,0.41427177280206645
20146524,BPIC15_2,0.421,0.4356147082828923
20147943,BPIC15_2,0.847,0.8397718181005743
20160716,BPIC15_2,0.438,0.4518715288587664
20161890,BPIC15_2,0.432,0.4463353638243298
20167781,BPIC15_2,0.43,0.44391407000196514
20168418,BPIC15_2,0.408,0.423854010691785
20176632,BPIC15_2,0.459,0.47172310745568924
